Data;NDVI;PreFiltro;FlatBottom
03/12/2022;0,7536;0,6562;0,6562
19/12/2022;0,6451;0,6451;0,6451
01/01/2023;0,6451;0,6451;0,6451
17/01/2023;0,4028;0,5622;0,5622
02/02/2023;0,2925;0,4794;0,4794
18/02/2023;0,3965;0,3965;0,4794
06/03/2023;0,615;0,5029;0,5029
22/03/2023;0,6093;0,6093;0,6093
07/04/2023;0,7707;0,7707;0,7707
23/04/2023;0,7045;0,7045;0,7045
09/05/2023;0,5867;0,5867;0,5867
25/05/2023;0,5081;0,5081;0,5081
10/06/2023;0,4227;0,4227;0,4227
26/06/2023;0,3074;0,3074;0,3074
12/07/2023;0,2906;0,2906;0,2906
28/07/2023;0,3035;0,3035;0,3035
13/08/2023;0,2804;0,2804;0,3035
29/08/2023;0,3269;0,3269;0,3269
14/09/2023;0,2707;0,2707;0,2951
30/09/2023;0,2951;0,2951;0,2951
16/10/2023;0,3526;0,3526;0,3526
01/11/2023;0,451;0,451;0,451
17/11/2023;0,5175;0,5175;0,5175
03/12/2023;0,4564;0,4564;0,5175
19/12/2023;0,5788;0,5788;0,5788
01/01/2024;0,3172;0,3172;0,3172
17/01/2024;0,3172;0,3172;0,3172
02/02/2024;0,3155;0,3656;0,3656
18/02/2024;0,414;0,414;0,414
05/03/2024;0,4641;0,4641;0,4641
21/03/2024;0,6035;0,6035;0,6035
06/04/2024;0,5638;0,5638;0,6035
22/04/2024;0,7021;0,7021;0,7021
08/05/2024;0,5612;0,5612;0,5634
24/05/2024;0,5634;0,5634;0,5634
09/06/2024;0,5746;0,5746;0,5746
25/06/2024;0,4037;0,4037;0,4037
11/07/2024;0,3793;0,3793;0,3793
27/07/2024;0,3146;0,3146;0,3146
12/08/2024;0,2612;0,2612;0,2983
28/08/2024;0,2983;0,2983;0,2983
13/09/2024;0,2868;0,2868;0,2868
29/09/2024;0,3139;0,3139;0,3139
15/10/2024;0,3193;0,3193;0,3193
31/10/2024;0,4255;0,3876;0,3876
16/11/2024;0,6875;0,4558;0,4558
02/12/2024;0,5241;0,5241;0,5241
18/12/2024;0,6453;0,6453;0,6453
01/01/2025;0,6951;0,5696;0,5696
17/01/2025;0,4939;0,4939;0,4939
02/02/2025;0,3114;0,3114;0,4731
18/02/2025;0,4731;0,4731;0,4731
